time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-25T11:00,25.5,71,25.2,Mysuru
2026-08-25T12:00,25.0,72,24.2,Mysuru
2026-08-25T13:00,24.1,76,22.4,Mysuru
2026-08-25T14:00,23.0,82,20.0,Mysuru
2026-08-25T15:00,22.2,87,18.1,Mysuru
2026-08-25T16:00,21.9,89,17.5,Mysuru
2026-08-25T17:00,21.9,89,17.4,Mysuru
2026-08-25T18:00,21.9,88,17.3,Mysuru
2026-08-25T19:00,21.8,89,16.9,Mysuru
2026-08-25T20:00,21.8,89,16.6,Mysuru
2026-08-25T21:00,21.7,89,16.5,Mysuru
2026-08-25T22:00,21.6,90,16.4,Mysuru
2026-08-25T23:00,21.4,90,16.6,Mysuru
2026-08-26T00:00,21.5,89,17.3,Mysuru
2026-08-26T01:00,22.0,87,19.0,Mysuru
2026-08-26T02:00,22.7,82,21.5,Mysuru
2026-08-26T03:00,23.5,78,23.7,Mysuru
2026-08-26T04:00,24.4,74,24.5,Mysuru
2026-08-26T05:00,25.5,70,24.4,Mysuru
2026-08-26T06:00,26.2,67,24.4,Mysuru
2026-08-26T07:00,27.1,64,23.4,Mysuru
2026-08-26T08:00,27.2,64,23.8,Mysuru
2026-08-26T09:00,27.1,64,24.2,Mysuru
2026-08-26T10:00,26.8,65,24.3,Mysuru
2026-08-26T11:00,26.5,66,24.2,Mysuru
2026-08-26T12:00,26.1,68,23.7,Mysuru
2026-08-26T13:00,25.6,70,22.8,Mysuru
2026-08-26T14:00,24.8,74,21.4,Mysuru
2026-08-26T15:00,23.9,78,19.9,Mysuru
2026-08-26T16:00,23.0,82,18.4,Mysuru
2026-08-26T17:00,22.3,87,17.1,Mysuru
2026-08-26T18:00,21.7,90,16.1,Mysuru
2026-08-26T19:00,21.4,91,15.4,Mysuru
2026-08-26T20:00,21.1,93,15.0,Mysuru
2026-08-26T21:00,21.0,93,14.7,Mysuru
2026-08-26T22:00,21.0,93,14.5,Mysuru
2026-08-26T23:00,21.2,92,14.5,Mysuru
2026-08-20T00:00,27.3,85,12.7,Chennai
2026-08-20T01:00,27.4,84,10.7,Chennai
2026-08-20T02:00,28.7,78,10.5,Chennai
